Time,CO_2 [%],CO [%],NO_x [%],O_2 [%],H_2O [%],N_2 [%],m_{Rauchgas} [kg/s],Temperature (Â°C),rounded_temperature
25.06.2024 13:20,3.99007,0.143351,0.000253305,16.5088,3.796134267,75.56139143,0.01180842,224.682,225.0
25.06.2024 13:20,3.9959,0.143147,0.000231076,16.4985,3.801104786,75.56111714,0.011731744,224.905,225.0
25.06.2024 13:20,3.9959,0.143117,0.000223762,16.4954,3.801078283,75.56428096,0.011731982,225.189,225.0
25.06.2024 13:20,4.00603,0.143154,0.000205366,16.4921,3.810059436,75.5484512,0.011751114,224.909,225.0
25.06.2024 13:20,4.01071,0.143154,0.000195001,16.4885,3.814193011,75.54324799,0.011751767,225.253,225.0
25.06.2024 13:39,2.83988,0.136361,-0.00164876,17.6369,2.762741186,76.62576657,0.011046678,225.38,225.0
25.06.2024 13:39,2.83826,0.136582,-0.00164193,17.6413,2.761478405,76.62402153,0.011085744,225.236,225.0
25.06.2024 13:39,2.83662,0.136582,-0.00164193,17.6447,2.759998048,76.62374188,0.011164381,224.92,225.0
25.06.2024 13:39,2.83662,0.136582,-0.00165421,17.6447,2.759998048,76.62375416,0.011105321,224.598,225.0
25.06.2024 13:41,2.45041,0.180392,-0.00301563,17.8955,2.449938104,77.02677553,0.011634094,224.898,225.0
25.06.2024 13:43,3.04083,0.145707,-0.00130438,17.4811,2.95218868,76.3814787,0.011222252,225.423,225.0
25.06.2024 13:43,3.04083,0.146394,-0.00130438,17.4912,2.952806362,76.37007402,0.011162984,225.017,225.0
25.06.2024 13:43,3.02118,0.147056,-0.00136158,17.4912,2.935731351,76.40619423,0.011085447,224.848,225.0
25.06.2024 13:50,2.1718,0.33298,-0.00271613,18.2179,2.335320627,76.9447155,0.011929243,224.685,225.0
25.06.2024 14:30,1.36126,0.181397,-0.00846163,19.5342,1.451308162,77.48029647,0.010106093,225.084,225.0
